,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
33,"Gildan Adult Fleece Hooded Sweatshirt, Style G18500",$15.99,n/a,4.6 out of 5,3.0,0.0,"Equal parts durable, comfortable and stylish, the Gildan Adult Fleece Hooded Sweatshirt belongs in every collection. Whether you’re hanging out with friends or relaxing at home, this must-have delivers everything you want in a hoodie, including the perfect surface for making decorations pop.",42.0,0.0
34,,,,,,,,,
35,"Gildan Adult Fleece Hooded Sweatshirt, Style G18500",$15.99,n/a,4.6 out of 5,3.0,0.0,"Equal parts durable, comfortable and stylish, the Gildan Adult Fleece Hooded Sweatshirt belongs in every collection. Whether you’re hanging out with friends or relaxing at home, this must-have delivers everything you want in a hoodie, including the perfect surface for making decorations pop.",42.0,0.0
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,"Aegend Swim Goggles, Swimming Goggles No Leaking Full Protection Adult Men Women Youth",$13.99,n/a,4.5 out of 5,6.0,6.0,no Description,0.0,0.0
40,"Aegend Swim Goggles, Swimming Goggles No Leaking Full Protection Adult Men Women Youth",$13.99,n/a,4.5 out of 5,6.0,6.0,no Description,0.0,0.0
41,,,,,,,,,
42,"Aegend Swim Goggles, Swimming Goggles No Leaking Full Protection Adult Men Women Youth",$13.99,n/a,4.5 out of 5,6.0,6.0,no Description,0.0,0.0
43,"Amazon Basics High-Density Round Foam Roller for Exercise, Massage, Muscle Recovery - 12"", 18"", 24"", 36""",$15.49,n/a,4.6 out of 5,5.0,6.0,no description,0.0,0.0
44,"Amazon Basics High-Density Round Foam Roller for Exercise, Massage, Muscle Recovery - 12"", 18"", 24"", 36""",$15.49,n/a,4.6 out of 5,5.0,6.0,no description,0.0,0.0
45,,,,,,,,,
46,"Amazon Basics High-Density Round Foam Roller for Exercise, Massage, Muscle Recovery - 12"", 18"", 24"", 36""",$15.49,n/a,4.6 out of 5,5.0,6.0,no description,0.0,0.0
47,Intex Explorer Inflatable Boat Series,$12.43,n/a,4.3 out of 5,7.0,0.0,no description,0.0,0.0
48,Intex Explorer Inflatable Boat Series,$12.43,n/a,4.3 out of 5,7.0,0.0,no description,0.0,0.0
49,,,,,,,,,
50,Intex Explorer Inflatable Boat Series,$12.43,n/a,4.3 out of 5,7.0,0.0,no description,0.0,0.0
51,"Portzon 10 Colors Options Compatible with Set of 2 Neoprene Dumbbell,1-15 LB, Anti-Slip, Anti-roll, Hex Shape",$11.97,n/a,4.8 out of 5,7.0,0.0,no description,0.0,0.0
52,"Portzon 10 Colors Options Compatible with Set of 2 Neoprene Dumbbell,1-15 LB, Anti-Slip, Anti-roll, Hex Shape",$11.97,n/a,4.8 out of 5,7.0,0.0,no description,0.0,0.0
53,,,,,,,,,
54,"Portzon 10 Colors Options Compatible with Set of 2 Neoprene Dumbbell,1-15 LB, Anti-Slip, Anti-roll, Hex Shape",$11.97,n/a,4.8 out of 5,7.0,0.0,no description,0.0,0.0
55,Callaway Golf Men's Weather Spann Premium Synthetic Golf Glove,$11.99,n/a,4.6 out of 5,3.0,0.0,no description,0.0,0.0
56,Callaway Golf Men's Weather Spann Premium Synthetic Golf Glove,$11.99,n/a,4.6 out of 5,3.0,0.0,no description,0.0,0.0
57,,,,,,,,,
58,Callaway Golf Men's Weather Spann Premium Synthetic Golf Glove,$11.99,n/a,4.6 out of 5,3.0,0.0,no description,0.0,0.0
59,"YETI Rambler Jr. 12 oz Kids Bottle, with Straw Cap",$25.00,n/a,4.9 out of 5,6.0,0.0,no Description,0.0,0.0
60,"YETI Rambler Jr. 12 oz Kids Bottle, with Straw Cap",$25.00,n/a,4.9 out of 5,6.0,0.0,no Description,0.0,0.0
61,,,,,,,,,
62,"YETI Rambler Jr. 12 oz Kids Bottle, with Straw Cap",$25.00,n/a,4.9 out of 5,6.0,0.0,no Description,0.0,0.0
63,Amazon Basics 1/2-Inch Extra Thick Exercise Yoga Mat,$19.10,n/a,4.6 out of 5,6.0,0.0,"Product Description
Amazon Basics 1/2-Inch Extra Thick Exercise Yoga Mat
From the Manufacturer
Amazon Basics",11.0,0.0
64,Amazon Basics 1/2-Inch Extra Thick Exercise Yoga Mat,$19.10,n/a,4.6 out of 5,6.0,0.0,"Product Description
Amazon Basics 1/2-Inch Extra Thick Exercise Yoga Mat
From the Manufacturer
Amazon Basics",11.0,0.0
65,,,,,,,,,
66,Amazon Basics 1/2-Inch Extra Thick Exercise Yoga Mat,$19.10,n/a,4.6 out of 5,6.0,0.0,"Product Description
Amazon Basics 1/2-Inch Extra Thick Exercise Yoga Mat
From the Manufacturer
Amazon Basics",11.0,0.0
67,Hydro Flask Wide Mouth Bottle with Flex Cap,$31.25,n/a,4.8 out of 5,6.0,6.0,"18/8 Stainless Steel and BPA Free Plastic Imported Newly produced Hydro Flasks do not feature a registered trademark symbol next to the logo Keeps cold drinks icy cold and hot drinks piping hot for hydration any time, anywhere Slip-free powder coating doesn't sweat and is dishwasher safe for easy cleaning and convenience A sustainable metal water bottle with a clean design, for a better planet Hydro Flask water bottles come with a limited lifetime warranty against manufacturing defects",77.0,0.0
68,Hydro Flask Wide Mouth Bottle with Flex Cap,$31.25,n/a,4.8 out of 5,6.0,6.0,"18/8 Stainless Steel and BPA Free Plastic Imported Newly produced Hydro Flasks do not feature a registered trademark symbol next to the logo Keeps cold drinks icy cold and hot drinks piping hot for hydration any time, anywhere Slip-free powder coating doesn't sweat and is dishwasher safe for easy cleaning and convenience A sustainable metal water bottle with a clean design, for a better planet Hydro Flask water bottles come with a limited lifetime warranty against manufacturing defects",77.0,0.0
69,,,,,,,,,
70,Hydro Flask Wide Mouth Bottle with Flex Cap,$31.25,n/a,4.8 out of 5,6.0,6.0,"18/8 Stainless Steel and BPA Free Plastic Imported Newly produced Hydro Flasks do not feature a registered trademark symbol next to the logo Keeps cold drinks icy cold and hot drinks piping hot for hydration any time, anywhere Slip-free powder coating doesn't sweat and is dishwasher safe for easy cleaning and convenience A sustainable metal water bottle with a clean design, for a better planet Hydro Flask water bottles come with a limited lifetime warranty against manufacturing defects",77.0,0.0
71,Body Glide Original Anti-Chafe Balm,$8.99,n/a,4.6 out of 5,6.0,4.0,no description,0.0,0.0
72,Body Glide Original Anti-Chafe Balm,$8.99,n/a,4.6 out of 5,6.0,4.0,no description,0.0,0.0
73,,,,,,,,,
74,Body Glide Original Anti-Chafe Balm,$8.99,n/a,4.6 out of 5,6.0,4.0,no description,0.0,0.0
75,"MARCHWAY Floating Waterproof Dry Bag 5L/10L/20L/30L/40L, Roll Top Sack Keeps Gear Dry for Kayaking, Rafting, Boating, Swimming, Camping, Hiking, Beach, Fishing",$11.99,n/a,4.8 out of 5,6.0,0.0,no Description,0.0,0.0
76,"MARCHWAY Floating Waterproof Dry Bag 5L/10L/20L/30L/40L, Roll Top Sack Keeps Gear Dry for Kayaking, Rafting, Boating, Swimming, Camping, Hiking, Beach, Fishing",$11.99,n/a,4.8 out of 5,6.0,0.0,no Description,0.0,0.0
77,,,,,,,,,
78,"MARCHWAY Floating Waterproof Dry Bag 5L/10L/20L/30L/40L, Roll Top Sack Keeps Gear Dry for Kayaking, Rafting, Boating, Swimming, Camping, Hiking, Beach, Fishing",$11.99,n/a,4.8 out of 5,6.0,0.0,no Description,0.0,0.0
79,"Fit Simplify Resistance Loop Exercise Bands with Instruction Guide and Carry Bag, Set of 5",$12.95,n/a,4.5 out of 5,6.0,6.0,no description,0.0,0.0
80,"Fit Simplify Resistance Loop Exercise Bands with Instruction Guide and Carry Bag, Set of 5",$12.95,n/a,4.5 out of 5,6.0,6.0,no description,0.0,0.0
81,,,,,,,,,
82,"Fit Simplify Resistance Loop Exercise Bands with Instruction Guide and Carry Bag, Set of 5",$12.95,n/a,4.5 out of 5,6.0,6.0,no description,0.0,0.0
83,Under Armour Adult Hustle 5.0 Backpack,$54.95,n/a,4.8 out of 5,7.0,0.0,"UA Storm technology delivers an element-battling, highly water-resistant finish. Breathable air-mesh padded back panel & adjustable, HeatGear shoulder straps for total comfort. Soft-lined laptop sleeve—holds up to 15"" MacBook Pro or similarly sized laptop. Water-repellent front valuables pocket to keep your stuff safe. Large, gusseted front laundry/shoe pocket placed at bottom of bag. 2 D-Rings & molle webbing on shoulder straps for additional attachment points. Two side water bottle pockets. Tough, abrasion-resistant bottom panel.

UA 스톰 기술로 비바람에 저항하는 강력한 방수 마감 제공. 통기성이 좋은 에어 메시 패딩 뒷면 패널 및 조절식 히트기어® 어깨끈으로 편안한 착용감. 부드러운 안감의 노트북 슬리브 - 최대 15인치 맥북 프로® 또는 유사한 크기의 노트북에 적합. 물품을 안전하게 보관하기 위한 발수성 전면 포켓. 대형 거싯 전면 세탁물/신발 포켓이 가방 바닥 쪽에 있습니다. 어깨끈에 2개의 D링 및 몰리 웨빙으로 추가 부착 포인트를 제공합니다. 두 개의 옆면에 물병 포켓. 튼튼하고 마모를 견딜 수 있는 바닥 패널.

UA 스톰 기술로 비바람에 저항하는 강력한 방수 마감 제공. 통기성이 좋은 에어 메시 패딩 뒷면 패널 및 조절식 히트기어® 어깨끈으로 편안한 착용감. 부드러운 안감의 노트북 슬리브 - 최대 15인치 맥북 프로® 또는 유사한 크기의 노트북에 적합. 물품을 안전하게 보관하기 위한 발수성 전면 포켓. 물품을 안전하게 보관하기 위한 발수성 전면 포켓. 대형 거싯 전면 세탁물/신발 포켓이 가방 바닥 쪽에 있습니다. 어깨끈에 2개의 D링 및 몰리 웨빙으로 추가 부착 포인트를 제공합니다. 두 개의 옆면에 물병 포켓. 튼튼하고 마모를 견딜 수 있는 바닥 패널.",226.0,0.0
84,Under Armour Adult Hustle 5.0 Backpack,$54.95,n/a,4.8 out of 5,7.0,0.0,"UA Storm technology delivers an element-battling, highly water-resistant finish. Breathable air-mesh padded back panel & adjustable, HeatGear shoulder straps for total comfort. Soft-lined laptop sleeve—holds up to 15"" MacBook Pro or similarly sized laptop. Water-repellent front valuables pocket to keep your stuff safe. Large, gusseted front laundry/shoe pocket placed at bottom of bag. 2 D-Rings & molle webbing on shoulder straps for additional attachment points. Two side water bottle pockets. Tough, abrasion-resistant bottom panel.

UA 스톰 기술로 비바람에 저항하는 강력한 방수 마감 제공. 통기성이 좋은 에어 메시 패딩 뒷면 패널 및 조절식 히트기어® 어깨끈으로 편안한 착용감. 부드러운 안감의 노트북 슬리브 - 최대 15인치 맥북 프로® 또는 유사한 크기의 노트북에 적합. 물품을 안전하게 보관하기 위한 발수성 전면 포켓. 대형 거싯 전면 세탁물/신발 포켓이 가방 바닥 쪽에 있습니다. 어깨끈에 2개의 D링 및 몰리 웨빙으로 추가 부착 포인트를 제공합니다. 두 개의 옆면에 물병 포켓. 튼튼하고 마모를 견딜 수 있는 바닥 패널.

UA 스톰 기술로 비바람에 저항하는 강력한 방수 마감 제공. 통기성이 좋은 에어 메시 패딩 뒷면 패널 및 조절식 히트기어® 어깨끈으로 편안한 착용감. 부드러운 안감의 노트북 슬리브 - 최대 15인치 맥북 프로® 또는 유사한 크기의 노트북에 적합. 물품을 안전하게 보관하기 위한 발수성 전면 포켓. 물품을 안전하게 보관하기 위한 발수성 전면 포켓. 대형 거싯 전면 세탁물/신발 포켓이 가방 바닥 쪽에 있습니다. 어깨끈에 2개의 D링 및 몰리 웨빙으로 추가 부착 포인트를 제공합니다. 두 개의 옆면에 물병 포켓. 튼튼하고 마모를 견딜 수 있는 바닥 패널.",226.0,0.0
85,,,,,,,,,
86,Under Armour Adult Hustle 5.0 Backpack,$54.95,n/a,4.8 out of 5,7.0,0.0,"UA Storm technology delivers an element-battling, highly water-resistant finish. Breathable air-mesh padded back panel & adjustable, HeatGear shoulder straps for total comfort. Soft-lined laptop sleeve—holds up to 15"" MacBook Pro or similarly sized laptop. Water-repellent front valuables pocket to keep your stuff safe. Large, gusseted front laundry/shoe pocket placed at bottom of bag. 2 D-Rings & molle webbing on shoulder straps for additional attachment points. Two side water bottle pockets. Tough, abrasion-resistant bottom panel.

UA 스톰 기술로 비바람에 저항하는 강력한 방수 마감 제공. 통기성이 좋은 에어 메시 패딩 뒷면 패널 및 조절식 히트기어® 어깨끈으로 편안한 착용감. 부드러운 안감의 노트북 슬리브 - 최대 15인치 맥북 프로® 또는 유사한 크기의 노트북에 적합. 물품을 안전하게 보관하기 위한 발수성 전면 포켓. 대형 거싯 전면 세탁물/신발 포켓이 가방 바닥 쪽에 있습니다. 어깨끈에 2개의 D링 및 몰리 웨빙으로 추가 부착 포인트를 제공합니다. 두 개의 옆면에 물병 포켓. 튼튼하고 마모를 견딜 수 있는 바닥 패널.

UA 스톰 기술로 비바람에 저항하는 강력한 방수 마감 제공. 통기성이 좋은 에어 메시 패딩 뒷면 패널 및 조절식 히트기어® 어깨끈으로 편안한 착용감. 부드러운 안감의 노트북 슬리브 - 최대 15인치 맥북 프로® 또는 유사한 크기의 노트북에 적합. 물품을 안전하게 보관하기 위한 발수성 전면 포켓. 물품을 안전하게 보관하기 위한 발수성 전면 포켓. 대형 거싯 전면 세탁물/신발 포켓이 가방 바닥 쪽에 있습니다. 어깨끈에 2개의 D링 및 몰리 웨빙으로 추가 부착 포인트를 제공합니다. 두 개의 옆면에 물병 포켓. 튼튼하고 마모를 견딜 수 있는 바닥 패널.",226.0,0.0
87,"MAXTOP Large Crossbody Fanny Pack with 4-Zipper Pockets,Gifts for Enjoy Sports Festival Workout Traveling Running Casual Hands-Free Wallets Waist Pack Phone Bag Carrying All Phones",$20.97,n/a,4.6 out of 5,5.0,0.0,no description,0.0,0.0
88,"MAXTOP Large Crossbody Fanny Pack with 4-Zipper Pockets,Gifts for Enjoy Sports Festival Workout Traveling Running Casual Hands-Free Wallets Waist Pack Phone Bag Carrying All Phones",$20.97,n/a,4.6 out of 5,5.0,0.0,no description,0.0,0.0
89,,,,,,,,,
90,"MAXTOP Large Crossbody Fanny Pack with 4-Zipper Pockets,Gifts for Enjoy Sports Festival Workout Traveling Running Casual Hands-Free Wallets Waist Pack Phone Bag Carrying All Phones",$20.97,n/a,4.6 out of 5,5.0,0.0,no description,0.0,0.0
91,"Fitbit Charge 5 Advanced Fitness & Health Tracker with Built-in GPS, Stress Management Tools, Sleep Tracking, 24/7 Heart Rate and More, Black/Graphite, One Size (S &L Bands Included)",$117.78,n/a,4.3 out of 5,6.0,6.0,"Fitbit Charge 5 + Premium connects the dots between your activity, sleep and stress so you can make the best decisions for your body, mind and health. It all starts with your 6-month Premium membership and Daily Readiness, a score based on activity, sleep and heart rate variability (HRV) that helps you optimize your workout routine. Your score comes with personalized activity recommendations: low means go easy and recover—light yoga, deep breathing—while a high score gives you the green light to go all out. Enhance your recovery routine with advanced stress-management tools like the on-wrist EDA sensor. Stay ahead of heart health with atrial fibrillation (AFib) heart rhythm assessments using the on-wrist ECG app. And you’ll always have motivation to reach new goals with hundreds of guided workouts, a gallery of refreshing mindfulness sessions plus the fitness features you know and love like Active Zone Minutes and built-in GPS.",148.0,2.0
92,"Fitbit Charge 5 Advanced Fitness & Health Tracker with Built-in GPS, Stress Management Tools, Sleep Tracking, 24/7 Heart Rate and More, Black/Graphite, One Size (S &L Bands Included)",$117.78,n/a,4.3 out of 5,6.0,6.0,"Fitbit Charge 5 + Premium connects the dots between your activity, sleep and stress so you can make the best decisions for your body, mind and health. It all starts with your 6-month Premium membership and Daily Readiness, a score based on activity, sleep and heart rate variability (HRV) that helps you optimize your workout routine. Your score comes with personalized activity recommendations: low means go easy and recover—light yoga, deep breathing—while a high score gives you the green light to go all out. Enhance your recovery routine with advanced stress-management tools like the on-wrist EDA sensor. Stay ahead of heart health with atrial fibrillation (AFib) heart rhythm assessments using the on-wrist ECG app. And you’ll always have motivation to reach new goals with hundreds of guided workouts, a gallery of refreshing mindfulness sessions plus the fitness features you know and love like Active Zone Minutes and built-in GPS.",148.0,2.0
93,,,,,,,,,
