,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
16,Top Gun: Maverick,$24.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
17,Top Gun: Maverick,$24.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
18,,,,,,,,,
19,Top Gun: Maverick,$24.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
20,Top Gun: Maverick,$19.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
21,Top Gun: Maverick,$19.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
22,,,,,,,,,
23,Top Gun: Maverick,$19.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
24,Elvis,$19.99,n/a,4.9 out of 5,1.0,0.0,"A thoroughly cinematic drama, Elvis's story is seen through the prism of his complicated relationship with his enigmatic manager, Colonel Tom Parker. As told by Parker, the film delves into the complex dynamic between the two spanning over 20 years, from Presley's rise to fame to his unprecedented stardom, against the backdrop of the evolving cultural landscape and loss of innocence in America. Central to that journey is one of the significant and influential people in Elvis's life, Priscilla Presley.",79.0,0.0
25,Elvis,$19.99,n/a,4.9 out of 5,1.0,0.0,"A thoroughly cinematic drama, Elvis's story is seen through the prism of his complicated relationship with his enigmatic manager, Colonel Tom Parker. As told by Parker, the film delves into the complex dynamic between the two spanning over 20 years, from Presley's rise to fame to his unprecedented stardom, against the backdrop of the evolving cultural landscape and loss of innocence in America. Central to that journey is one of the significant and influential people in Elvis's life, Priscilla Presley.",79.0,0.0
26,,,,,,,,,
27,Elvis,$19.99,n/a,4.9 out of 5,1.0,0.0,"A thoroughly cinematic drama, Elvis's story is seen through the prism of his complicated relationship with his enigmatic manager, Colonel Tom Parker. As told by Parker, the film delves into the complex dynamic between the two spanning over 20 years, from Presley's rise to fame to his unprecedented stardom, against the backdrop of the evolving cultural landscape and loss of innocence in America. Central to that journey is one of the significant and influential people in Elvis's life, Priscilla Presley.",79.0,0.0
28,Top Gun: Maverick,$29.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
29,Top Gun: Maverick,$29.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
30,,,,,,,,,
31,Top Gun: Maverick,$29.96,n/a,4.6 out of 5,1.0,1.0,"After more than thirty years of service as a top naval aviator, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot. Yet, Maverick must confront the ghosts of his past when he returns to TOPGUN to train a group of elite graduates and comes face to face with Lt. Bradshaw (Miles Teller), the son of his former wingman ""Goose"". Bitter rivalries ignite as the pilots prepare for a specialized mission which will require the ultimate sacrifice from those chosen to fly it.",89.0,0.0
32,Everything Everywhere All At Once [4K UHD],$24.96,n/a,4.4 out of 5,1.0,0.0,A hilarious and big-hearted sci-fi action adventure about an exhausted Chinese American woman (Michelle Yeoh) who is swept up in an insane adventure across the multiverse.,25.0,0.0
33,Everything Everywhere All At Once [4K UHD],$24.96,n/a,4.4 out of 5,1.0,0.0,A hilarious and big-hearted sci-fi action adventure about an exhausted Chinese American woman (Michelle Yeoh) who is swept up in an insane adventure across the multiverse.,25.0,0.0
34,,,,,,,,,
35,Everything Everywhere All At Once [4K UHD],$24.96,n/a,4.4 out of 5,1.0,0.0,A hilarious and big-hearted sci-fi action adventure about an exhausted Chinese American woman (Michelle Yeoh) who is swept up in an insane adventure across the multiverse.,25.0,0.0
36,Yellowstone: The First Four Seasons [DVD],$36.99,n/a,4.8 out of 5,2.0,1.0,Yellowstone: The First Four Seasons [DVD],5.0,0.0
37,Yellowstone: The First Four Seasons [DVD],$36.99,n/a,4.8 out of 5,2.0,1.0,Yellowstone: The First Four Seasons [DVD],5.0,0.0
38,,,,,,,,,
39,Yellowstone: The First Four Seasons [DVD],$36.99,n/a,4.8 out of 5,2.0,1.0,Yellowstone: The First Four Seasons [DVD],5.0,0.0
40,1883: A Yellowstone Origin Story,$19.96,n/a,3.8 out of 5,1.0,1.0,"From visionary creator Taylor Sheridan comes a prequel to television’s #1 show, Yellowstone. 1883 follows the original Dutton family as they embark on a journey west through the Great Plains toward the last bastion of untamed America. It’s a stark retelling of Western expansion, and an intense study of one family fleeing poverty to seek a better future in America’s promised land — Montana. This acclaimed series features a star-studded cast including Academy Award nominee Sam Elliott, Tim McGraw, Faith Hill, with cameos from Academy Award winners Tom Hanks and Billy Bob Thornton, and Rita Wilson. Now dive deeper into the Dutton’s origin story with over X hours of behind-the-scenes bonus content including never-before-seen featurettes with the cast and crew.",119.0,0.0
41,1883: A Yellowstone Origin Story,$19.96,n/a,3.8 out of 5,1.0,1.0,"From visionary creator Taylor Sheridan comes a prequel to television’s #1 show, Yellowstone. 1883 follows the original Dutton family as they embark on a journey west through the Great Plains toward the last bastion of untamed America. It’s a stark retelling of Western expansion, and an intense study of one family fleeing poverty to seek a better future in America’s promised land — Montana. This acclaimed series features a star-studded cast including Academy Award nominee Sam Elliott, Tim McGraw, Faith Hill, with cameos from Academy Award winners Tom Hanks and Billy Bob Thornton, and Rita Wilson. Now dive deeper into the Dutton’s origin story with over X hours of behind-the-scenes bonus content including never-before-seen featurettes with the cast and crew.",119.0,0.0
42,,,,,,,,,
43,1883: A Yellowstone Origin Story,$19.96,n/a,3.8 out of 5,1.0,1.0,"From visionary creator Taylor Sheridan comes a prequel to television’s #1 show, Yellowstone. 1883 follows the original Dutton family as they embark on a journey west through the Great Plains toward the last bastion of untamed America. It’s a stark retelling of Western expansion, and an intense study of one family fleeing poverty to seek a better future in America’s promised land — Montana. This acclaimed series features a star-studded cast including Academy Award nominee Sam Elliott, Tim McGraw, Faith Hill, with cameos from Academy Award winners Tom Hanks and Billy Bob Thornton, and Rita Wilson. Now dive deeper into the Dutton’s origin story with over X hours of behind-the-scenes bonus content including never-before-seen featurettes with the cast and crew.",119.0,0.0
44,Spider-Man: No Way Home [Blu-ray],$17.00,n/a,4.8 out of 5,2.0,0.0,"For the first time in the cinematic history of Spider-Man, our friendly neighborhood hero's identity is revealed, bringing his Super Hero responsibilities into conflict with his normal life and putting those he cares about most at risk. When he enlists Doctor Strange’s help to restore his secret, the spell tears a hole in their world, releasing the most powerful villains who’ve ever fought a Spider-Man in any universe. Now, Peter will have to overcome his greatest challenge yet, which will not only forever alter his own future but the future of the Multiverse.",92.0,2.0
45,Spider-Man: No Way Home [Blu-ray],$17.00,n/a,4.8 out of 5,2.0,0.0,"For the first time in the cinematic history of Spider-Man, our friendly neighborhood hero's identity is revealed, bringing his Super Hero responsibilities into conflict with his normal life and putting those he cares about most at risk. When he enlists Doctor Strange’s help to restore his secret, the spell tears a hole in their world, releasing the most powerful villains who’ve ever fought a Spider-Man in any universe. Now, Peter will have to overcome his greatest challenge yet, which will not only forever alter his own future but the future of the Multiverse.",92.0,2.0
46,,,,,,,,,
47,Spider-Man: No Way Home [Blu-ray],$17.00,n/a,4.8 out of 5,2.0,0.0,"For the first time in the cinematic history of Spider-Man, our friendly neighborhood hero's identity is revealed, bringing his Super Hero responsibilities into conflict with his normal life and putting those he cares about most at risk. When he enlists Doctor Strange’s help to restore his secret, the spell tears a hole in their world, releasing the most powerful villains who’ve ever fought a Spider-Man in any universe. Now, Peter will have to overcome his greatest challenge yet, which will not only forever alter his own future but the future of the Multiverse.",92.0,2.0
48,Crimes of the Future,$14.99,n/a,3.4 out of 5,2.0,0.0,"In the future, humankind is adapting to its environment via mutation or surgery. Saul Tenser (Viggo Mortensen) presents his mutations as a performance artist which incites a mysterious group to unveil the next phase of human evolution.",36.0,0.0
49,Crimes of the Future,$14.99,n/a,3.4 out of 5,2.0,0.0,"In the future, humankind is adapting to its environment via mutation or surgery. Saul Tenser (Viggo Mortensen) presents his mutations as a performance artist which incites a mysterious group to unveil the next phase of human evolution.",36.0,0.0
50,,,,,,,,,
51,Crimes of the Future,$14.99,n/a,3.4 out of 5,2.0,0.0,"In the future, humankind is adapting to its environment via mutation or surgery. Saul Tenser (Viggo Mortensen) presents his mutations as a performance artist which incites a mysterious group to unveil the next phase of human evolution.",36.0,0.0
52,The Lost City [Blu-ray],$22.96,n/a,4.2 out of 5,1.0,0.0,no description,0.0,0.0
53,The Lost City [Blu-ray],$22.96,n/a,4.2 out of 5,1.0,0.0,no description,0.0,0.0
54,,,,,,,,,
55,The Lost City [Blu-ray],$22.96,n/a,4.2 out of 5,1.0,0.0,no description,0.0,0.0
56,Starship Troopers [4K UHD],$38.99,n/a,4.7 out of 5,3.0,0.0,"From the bridge of the Fleet Battlestation Ticonderoga, with its sweeping galactic views, to the desolate terrain of planet Klendathu, teeming with shrieking, fire-spitting, brain-sucking special effects creatures, acclaimed director PAUL VERHOEVEN crafts a dazzling epic based on Robert A. Heinlein's classic sci-fi adventure. CASPER VAN DIEN, DINA MEYER, DENISE RICHARDS, JAKE BUSEY, NEIL PATRICK HARRIS, PATRICK MULDOON, and MICHAEL IRONSIDE star as the courageous soldiers who travel to the distant and desolate Klendathu system for the ultimate showdown between the species. 20th Anniversary Synopsis From the bridge of the Fleet Battlestation Ticonderoga, with its sweeping galactic views, to the desolate terrain of planet Klendathu, teeming with shrieking, fire-spitting, brain-sucking special effects creatures, acclaimed director Paul Verhoeven crafts a dazzling epic based on Robert A. Heinlein's classic sci-fi adventure. Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey, Neil Pa",139.0,0.0
57,Starship Troopers [4K UHD],$38.99,n/a,4.7 out of 5,3.0,0.0,"From the bridge of the Fleet Battlestation Ticonderoga, with its sweeping galactic views, to the desolate terrain of planet Klendathu, teeming with shrieking, fire-spitting, brain-sucking special effects creatures, acclaimed director PAUL VERHOEVEN crafts a dazzling epic based on Robert A. Heinlein's classic sci-fi adventure. CASPER VAN DIEN, DINA MEYER, DENISE RICHARDS, JAKE BUSEY, NEIL PATRICK HARRIS, PATRICK MULDOON, and MICHAEL IRONSIDE star as the courageous soldiers who travel to the distant and desolate Klendathu system for the ultimate showdown between the species. 20th Anniversary Synopsis From the bridge of the Fleet Battlestation Ticonderoga, with its sweeping galactic views, to the desolate terrain of planet Klendathu, teeming with shrieking, fire-spitting, brain-sucking special effects creatures, acclaimed director Paul Verhoeven crafts a dazzling epic based on Robert A. Heinlein's classic sci-fi adventure. Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey, Neil Pa",139.0,0.0
58,,,,,,,,,
59,Starship Troopers [4K UHD],$38.99,n/a,4.7 out of 5,3.0,0.0,"From the bridge of the Fleet Battlestation Ticonderoga, with its sweeping galactic views, to the desolate terrain of planet Klendathu, teeming with shrieking, fire-spitting, brain-sucking special effects creatures, acclaimed director PAUL VERHOEVEN crafts a dazzling epic based on Robert A. Heinlein's classic sci-fi adventure. CASPER VAN DIEN, DINA MEYER, DENISE RICHARDS, JAKE BUSEY, NEIL PATRICK HARRIS, PATRICK MULDOON, and MICHAEL IRONSIDE star as the courageous soldiers who travel to the distant and desolate Klendathu system for the ultimate showdown between the species. 20th Anniversary Synopsis From the bridge of the Fleet Battlestation Ticonderoga, with its sweeping galactic views, to the desolate terrain of planet Klendathu, teeming with shrieking, fire-spitting, brain-sucking special effects creatures, acclaimed director Paul Verhoeven crafts a dazzling epic based on Robert A. Heinlein's classic sci-fi adventure. Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey, Neil Pa",139.0,0.0
60,Everything Everywhere All At Once [Blu-ray],$19.96,n/a,4.4 out of 5,1.0,0.0,A hilarious and big-hearted sci-fi action adventure about an exhausted Chinese American woman (Michelle Yeoh) who is swept up in an insane adventure across the multiverse.,25.0,0.0
61,Everything Everywhere All At Once [Blu-ray],$19.96,n/a,4.4 out of 5,1.0,0.0,A hilarious and big-hearted sci-fi action adventure about an exhausted Chinese American woman (Michelle Yeoh) who is swept up in an insane adventure across the multiverse.,25.0,0.0
62,,,,,,,,,
63,Everything Everywhere All At Once [Blu-ray],$19.96,n/a,4.4 out of 5,1.0,0.0,A hilarious and big-hearted sci-fi action adventure about an exhausted Chinese American woman (Michelle Yeoh) who is swept up in an insane adventure across the multiverse.,25.0,0.0
64,The Lost Boys (4K Ultra HD + Blu-ray + Digital),$33.99,n/a,4.8 out of 5,3.0,0.0,no description,0.0,0.0
65,The Lost Boys (4K Ultra HD + Blu-ray + Digital),$33.99,n/a,4.8 out of 5,3.0,0.0,no description,0.0,0.0
66,,,,,,,,,
67,The Lost Boys (4K Ultra HD + Blu-ray + Digital),$33.99,n/a,4.8 out of 5,3.0,0.0,no description,0.0,0.0
68,Poltergeist (4K Ultra HD + Blu-ray + Digital),$25.99,n/a,4.7 out of 5,3.0,0.0,no description,0.0,0.0
69,Poltergeist (4K Ultra HD + Blu-ray + Digital),$25.99,n/a,4.7 out of 5,3.0,0.0,no description,0.0,0.0
70,,,,,,,,,
71,Poltergeist (4K Ultra HD + Blu-ray + Digital),$25.99,n/a,4.7 out of 5,3.0,0.0,no description,0.0,0.0
